dataset,encoder,readout,nways,kshots,label_column,f1_micro,f1_micro_pm,timestamp,num_epochs,lr,weight_decay
conll-de,bert-german,LR,5,1,ner_tags,27.90,2.19,2021-09-20 18:13:16,,,
conll-de,bert-german,LR,5,5,ner_tags,66.21,1.77,2021-09-20 18:13:16,,,
conll-de,bert-german,LR,5,10,ner_tags,72.52,1.60,2021-09-20 18:13:16,,,
conll-de,gottbert,LR,5,1,ner_tags,26.27,2.11,2021-09-20 19:03:59,,,
conll-de,gottbert,LR,5,5,ner_tags,58.37,1.76,2021-09-20 19:03:59,,,
conll-de,gottbert,LR,5,10,ner_tags,64.77,1.65,2021-09-20 19:03:59,,,
conll-de,random,LR,5,1,ner_tags,12.53,1.65,2021-09-20 18:13:16,,,
conll-de,random,LR,5,5,ner_tags,15.38,1.30,2021-09-20 18:13:16,,,
conll-de,random,LR,5,10,ner_tags,16.00,1.29,2021-09-20 18:13:16,,,
conll-de,xlm,LR,5,1,ner_tags,30.65,2.21,2021-10-08 18:50:22,,,
conll-de,xlm,LR,5,5,ner_tags,65.22,1.74,2021-10-08 18:50:22,,,
conll-de,xlm,LR,5,10,ner_tags,71.18,1.59,2021-10-08 18:50:22,,,
conll2003,albert,LR,5,1,ner_tags,33.03,1.90,2021-09-20 16:48:07,,,
conll2003,albert,NC,5,1,ner_tags,35.21,1.87,2021-09-20 17:20:17,,,
conll2003,albert,NN,5,1,ner_tags,40.76,1.72,2021-09-20 17:20:17,,,
conll2003,albert,LR,5,5,ner_tags,68.33,1.57,2021-09-20 16:48:07,,,
conll2003,albert,NC,5,5,ner_tags,61.53,1.65,2021-09-20 17:20:17,,,
conll2003,albert,NN,5,5,ner_tags,62.24,1.60,2021-09-20 17:20:17,,,
conll2003,albert,LR,5,10,ner_tags,72.76,1.57,2021-09-20 16:48:07,,,
conll2003,albert,NC,5,10,ner_tags,62.65,1.65,2021-09-20 17:20:17,,,
conll2003,albert,NN,5,10,ner_tags,67.79,1.62,2021-09-20 17:20:17,,,
conll2003,albert,LR,9,5,ner_tags,59.07,1.30,2021-09-20 23:49:02,,,
conll2003,albert,LR,9,10,ner_tags,62.88,1.33,2021-09-20 23:52:45,,,
conll2003,albert,LR,9,15,ner_tags,66.01,1.13,2021-09-20 23:57:15,,,
conll2003,albert,LR,9,20,ner_tags,66.72,1.18,2021-09-21 00:22:51,,,
conll2003,bert,LR,5,1,ner_tags,21.96,1.78,2021-09-20 16:22:11,,,
conll2003,bert,NC,5,1,ner_tags,22.85,1.78,2021-09-20 17:09:24,,,
