id,tokens,pos_tags,chunk_tags,ner_tags,vae_tag
0,"['SOCCER', '-', 'JAPAN', 'GET', 'LUCKY', 'WIN', ',', 'CHINA', 'IN', 'SURPRISE', 'DEFEAT', '.']","[21, 8, 22, 37, 22, 22, 6, 22, 15, 12, 21, 7]","[11, 0, 11, 21, 11, 12, 0, 11, 13, 11, 12, 0]","[0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
1,"['Nadim', 'Ladki']","[22, 22]","[11, 12]","[1, 2]","[29, 29]"
2,"['AL-AIN', ',', 'United', 'Arab', 'Emirates', '1996-12-06']","[22, 6, 22, 22, 23, 11]","[11, 0, 11, 12, 12, 12]","[5, 0, 5, 6, 6, 0]","[12, 12, 12, 12, 12, 12]"
3,"['Japan', 'began', 'the', 'defence', 'of', 'their', 'Asian', 'Cup', 'title', 'with', 'a', 'lucky', '2-1', 'win', 'against', 'Syria', 'in', 'a', 'Group', 'C', 'championship', 'match', 'on', 'Friday', '.']","[22, 38, 12, 21, 15, 29, 16, 22, 21, 15, 12, 16, 11, 41, 15, 22, 15, 12, 22, 22, 21, 21, 15, 22, 7]","[11, 21, 11, 12, 13, 11, 12, 12, 12, 13, 11, 12, 12, 21, 13, 11, 13, 11, 12, 12, 12, 12, 13, 11, 0]","[5, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['But', 'China', 'saw', 'their', 'luck', 'desert', 'them', 'in', 'the', 'second', 'match', 'of', 'the', 'group', ',', 'crashing', 'to', 'a', 'surprise', '2-0', 'defeat', 'to', 'newcomers', 'Uzbekistan', '.']","[10, 22, 38, 29, 21, 37, 28, 15, 12, 21, 21, 15, 12, 21, 6, 39, 35, 12, 21, 11, 21, 35, 24, 22, 7]","[0, 11, 21, 11, 12, 21, 11, 13, 11, 12, 12, 13, 11, 12, 0, 21, 13, 11, 12, 12, 12, 13, 11, 12, 0]","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['China', 'controlled', 'most', 'of', 'the', 'match', 'and', 'saw', 'several', 'chances', 'missed', 'until', 'the', '78th', 'minute', 'when', 'Uzbek', 'striker', 'Igor', 'Shkvyrin', 'took', 'advantage', 'of', 'a', 'misdirected', 'defensive', 'header', 'to', 'lob', 'the', 'ball', 'over', 'the', 'advancing', 'Chinese', 'keeper', 'and', 'into', 'an', 'empty', 'net', '.']","[22, 38, 18, 15, 12, 21, 10, 38, 16, 24, 38, 15, 12, 16, 21, 46, 22, 21, 16, 22, 38, 21, 15, 12, 16, 16, 21, 35, 37, 12, 21, 15, 12, 39, 16, 21, 10, 15, 12, 16, 21, 7]","[11, 21, 11, 13, 11, 12, 0, 21, 11, 12, 21, 17, 11, 12, 12, 3, 11, 12, 11, 12, 21, 11, 13, 11, 12, 12, 12, 21, 22, 11, 12, 13, 11, 12, 12, 12, 0, 13, 11, 12, 12, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
6,"['Oleg', 'Shatskiku', 'made', 'sure', 'of', 'the', 'win', 'in', 'injury', 'time', ',', 'hitting', 'an', 'unstoppable', 'left', 'foot', 'shot', 'from', 'just', 'outside', 'the', 'area', '.']","[22, 22, 38, 16, 15, 12, 41, 15, 21, 21, 6, 39, 12, 16, 38, 21, 21, 15, 30, 15, 12, 21, 7]","[11, 12, 21, 1, 13, 11, 21, 13, 11, 12, 0, 21, 11, 12, 21, 11, 12, 13, 11, 13, 11, 12, 0]","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['The', 'former', 'Soviet', 'republic', 'was', 'playing', 'in', 'an', 'Asian', 'Cup', 'finals', 'tie', 'for', 'the', 'first', 'time', '.']","[12, 16, 16, 21, 38, 39, 15, 12, 22, 22, 24, 21, 15, 12, 16, 21, 7]","[11, 12, 12, 12, 21, 22, 13, 11, 12, 12, 12, 12, 13, 11, 12, 12, 0]","[0, 0, 7, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
8,"['Despite', 'winning', 'the', 'Asian', 'Games', 'title', 'two', 'years', 'ago', ',', 'Uzbekistan', 'are', 'in', 'the', 'finals', 'as', 'outsiders', '.']","[15, 39, 12, 16, 23, 21, 11, 24, 30, 6, 22, 41, 15, 12, 24, 15, 24, 7]","[13, 21, 11, 12, 12, 12, 11, 12, 3, 0, 11, 21, 13, 11, 12, 17, 11, 0]","[0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['Two', 'goals', 'from', 'defensive', 'errors', 'in', 'the', 'last', 'six', 'minutes', 'allowed', 'Japan', 'to', 'come', 'from', 'behind', 'and', 'collect', 'all', 'three', 'points', 'from', 'their', 'opening', 'meeting', 'against', 'Syria', '.']","[11, 24, 15, 16, 24, 15, 12, 16, 11, 24, 38, 22, 35, 37, 15, 21, 10, 37, 12, 11, 24, 15, 29, 21, 21, 15, 22, 7]","[11, 12, 13, 11, 12, 13, 11, 12, 12, 12, 21, 11, 21, 22, 13, 11, 0, 21, 11, 12, 12, 13, 11, 12, 12, 13, 11, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
